date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:51	49415/49415	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:48:02%20GMT	https://wealthmax.co.uk/willsplanning/wealthmaxlogo.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/willsplanning/wealthmaxlogo.svg	(from https://wealthmax.co.uk/)
19:18:52	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:00%20GMT	http://wealthmax.co.uk/mortgage	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/mortgage	(from https://wealthmax.co.uk/)
19:18:52	107581/107581	---MCZ	200	added ('OK')	text/html	etag:W/%221a43d-hPxH9TpQKZ7K92PfDYtfmQQ8nG4%22	https://wealthmax.co.uk/protection	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/protection.html	(from https://wealthmax.co.uk/)
19:18:53	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:02%20GMT	http://wealthmax.co.uk/commercial-lending	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/commercial-lending	(from https://wealthmax.co.uk/)
19:18:53	110112/110112	---MCZ	200	added ('OK')	text/html	etag:W/%221ae20-BqOJWd27FJ5kX+or8X022XzSTwg%22	https://wealthmax.co.uk/mortgage	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/mortgage.html	(from https://wealthmax.co.uk/)
19:18:54	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:03%20GMT	http://wealthmax.co.uk/pension	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/pension	(from https://wealthmax.co.uk/)
19:18:55	107554/107554	---MCZ	200	added ('OK')	text/html	etag:W/%221a422-N1KrssJxEt1pb1OmBAuE3pD1ORE%22	https://wealthmax.co.uk/commercial-lending	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/commercial-lending.html	(from https://wealthmax.co.uk/)
19:18:56	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:04%20GMT	http://wealthmax.co.uk/wills	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/wills	(from https://wealthmax.co.uk/)
19:18:56	109012/109012	---MCZ	200	added ('OK')	text/html	etag:W/%221a9d4-w51j9QdKPcexXyJWwd+ZXGYMglE%22	https://wealthmax.co.uk/pension	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/pension.html	(from https://wealthmax.co.uk/)
19:18:57	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:05%20GMT	http://wealthmax.co.uk/who-we-are	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/who-we-are	(from https://wealthmax.co.uk/)
19:18:58	106569/106569	---MCZ	200	added ('OK')	text/html	etag:W/%221a049-UJqF/ufvFXDo1XXbiZu3bI7QHkk%22	https://wealthmax.co.uk/wills	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/wills.html	(from https://wealthmax.co.uk/)
19:18:59	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:07%20GMT	http://wealthmax.co.uk/network	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/network	(from https://wealthmax.co.uk/)
19:18:59	109470/109470	---MCZ	200	added ('OK')	text/html	etag:W/%221ab9e-+sWhdwlFXpFwBxMqclztm0+u8FA%22	https://wealthmax.co.uk/who-we-are	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/who-we-are.html	(from https://wealthmax.co.uk/)
19:19:00	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:08%20GMT	http://wealthmax.co.uk/careers	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/careers	(from https://wealthmax.co.uk/)
19:19:00	116986/116986	---MCZ	200	added ('OK')	text/html	etag:W/%221c8fa-yI+Qdjw0O/n6DnmTYE1EJ1BD/3Y%22	https://wealthmax.co.uk/network	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/network.html	(from https://wealthmax.co.uk/)
19:19:01	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:10%20GMT	http://wealthmax.co.uk/contact-us	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/contact-us	(from https://wealthmax.co.uk/)
19:19:01	109256/109256	---MCZ	200	added ('OK')	text/html	etag:W/%221aac8-zBwzDfAlbK2tzVhDxgJqZGOEvZ0%22	https://wealthmax.co.uk/careers	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/careers.html	(from https://wealthmax.co.uk/)
19:19:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:11%20GMT	http://wealthmax.co.uk/newsletter	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/newsletter	(from https://wealthmax.co.uk/)
19:19:03	107291/107291	---MCZ	200	added ('OK')	text/html	etag:W/%221a31b-b7oQ0/CM2RRi7uv55tvawn1IvP4%22	https://wealthmax.co.uk/contact-us	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/contact-us.html	(from https://wealthmax.co.uk/)
19:19:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:12%20GMT	http://wealthmax.co.uk/homepage/p-avatargroup.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/p-avatargroup.svg	(from https://wealthmax.co.uk/)
19:19:04	109314/109314	---MCZ	200	added ('OK')	text/html	etag:W/%221ab02-NCJLbjSEEt28f+5X6pM5MbU81sQ%22	https://wealthmax.co.uk/newsletter	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/newsletter.html	(from https://wealthmax.co.uk/)
19:19:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:13%20GMT	http://wealthmax.co.uk/homepage/stars-g.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/stars-g.svg	(from https://wealthmax.co.uk/)
19:19:05	149061/149061	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:38%20GMT	https://wealthmax.co.uk/homepage/p-avatargroup.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/p-avatargroup.svg	(from https://wealthmax.co.uk/)
19:19:05	37403/37403	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:39%20GMT	https://wealthmax.co.uk/homepage/stars-g.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/stars-g.svg	(from https://wealthmax.co.uk/)
19:19:07	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:14%20GMT	http://wealthmax.co.uk/homepage/card2-img/hw1.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw1.svg	(from https://wealthmax.co.uk/)
19:19:07	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:15%20GMT	http://wealthmax.co.uk/homepage/card2-img/hw2.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw2.svg	(from https://wealthmax.co.uk/)
19:19:07	1101/1101	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:39%20GMT	https://wealthmax.co.uk/homepage/card2-img/hw1.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw1.svg	(from https://wealthmax.co.uk/)
19:19:07	1576/1576	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:39%20GMT	https://wealthmax.co.uk/homepage/card2-img/hw2.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw2.svg	(from https://wealthmax.co.uk/)
19:19:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:16%20GMT	http://wealthmax.co.uk/homepage/card2-img/hw3.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw3.svg	(from https://wealthmax.co.uk/)
19:19:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:16%20GMT	http://wealthmax.co.uk/homepage/card2-img/hw4.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw4.svg	(from https://wealthmax.co.uk/)
19:19:08	3661/3661	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:39%20GMT	https://wealthmax.co.uk/homepage/card2-img/hw3.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw3.svg	(from https://wealthmax.co.uk/)
19:19:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:17%20GMT	http://wealthmax.co.uk/homepage/card2-img/hw5.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw5.svg	(from https://wealthmax.co.uk/)
19:19:09	4421/4421	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2007%20Mar%202026%2012:47:39%20GMT	https://wealthmax.co.uk/homepage/card2-img/hw4.svg	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/card2-img/hw4.svg	(from https://wealthmax.co.uk/)
19:19:09	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202026%2013:49:17%20GMT	http://wealthmax.co.uk/homepage/s1.png	C:/My%20Web%20Sites/wealthMax/wealthmax.co.uk/homepage/s1.png	(from https://wealthmax.co.uk/)
